Name,Party,Year,State,District,Incumbent,Winner,Raised,Spent,Cash on Hand,Individual Contributions,Small Individual Contributions,Large Individual Contributions,PAC Contributions,Candidate self-financing,Other,Full Disclosure,Incomplete Disclosure,No Disclosure
Carlos Gimenez,R,2020,FL,26,False,True,2226559,2187389,39171,,146564,1590411,325100,0,164484,1395299,8000,25800
Donna Shalala,D,2020,FL,27,True,False,3842907,3735966,169728,,295249,2631166,812166,26737,77588,1600199,8150,9750
Maria Salazar,R,2020,FL,27,False,True,3654190,3645814,21258,,596204,2573339,237500,182621,64525,1082139,0,592429
Frank Polo,I,2020,FL,27,False,False,4606,4662,-56,,230,0,0,20,4356,0,0,2223
David Perdue,R,2020,GA,S1,True,False,102253913,89886197,12414002,,23123738,53529954,5743577,0,19856644,74610599,1022578,6084394
Jon Ossoff,D,2020,GA,S1,False,True,153630112,149298379,4331733,,69997540,75157463,862555,250000,7362555,84917981,147113,91206
Valencia Stovall,I,2020,GA,S1,False,False,23107,23107,0,,8206,11501,1500,0,1900,11450,0,0
Allen Buckley,I,2020,GA,S1,False,False,14097,14097,0,,4712,8299,0,1086,0,8299,0,0
Kelly Loeffler,R,2020,GA,S2,True,False,92135745,70879780,21255965,,19691228,35988186,2284747,23678492,10493092,95153850,901549,3795845
Raphael Warnock,D,2020,GA,S2,False,True,124278473,101515487,22762985,,60454979,57174237,714802,0,5934455,65642131,140689,115515
Doug Collins,R,2020,GA,S2,False,False,6705461,6684689,20772,,2331879,3141331,204050,60,1028141,3560609,74805,428762
Matthew Lieberman,D,2020,GA,S2,False,False,1339527,1337326,2201,,314944,1194064,12750,0,-182231,837210,17360,1150
Ed Tarver,D,2020,GA,S2,False,False,285234,282834,2400,,62728,181507,1400,0,39600,142626,250,1950
Wayne Johnson,R,2020,GA,S2,False,False,151000,146813,4187,,225,1050,0,151000,-1275,1050,0,0
Richard Dien Winfield,D,2020,GA,S2,False,False,61020,55517,14063,,22425,38595,0,0,0,34900,500,4770
Tamara Johnson-Shealey,D,2020,GA,S2,False,False,59891,64259,-4368,,31611,15069,0,556,12656,7120,0,17520
Derrick Grayson,R,2020,GA,S2,False,False,33247,27829,6777,,14979,7683,0,10585,0,7500,0,500
Kandiss Taylor,R,2020,GA,S2,False,False,30769,25549,0,,5088,20361,0,5320,0,2961,0,17171
Deborah Jackson,D,2020,GA,S2,False,False,19089,20502,-1213,,4746,9976,500,3867,0,9226,250,0
John Fortuin,3,2020,GA,S2,False,False,8681,8616,65,,220,970,0,7491,0,0,400,0
Al Bartell,I,2020,GA,S2,False,False,7754,7822,-233,,334,1000,0,6420,0,1000,0,0
Brian Slowinski,L,2020,GA,S2,False,False,5220,5220,0,,0,0,0,5220,0,0,0,0
Buddy Carter,R,2020,GA,01,True,True,2315487,1734754,1705925,,125100,1010659,1205934,0,-26206,846390,1300,125050
Joyce Griggs,D,2020,GA,01,False,False,130043,125000,5043,,21546,34518,2250,70729,1000,14650,0,5130
Sanford Bishop,D,2020,GA,02,True,True,1540683,1440571,192528,,24059,356912,1105145,0,54567,357853,17770,1654
Don Cole,R,2020,GA,02,False,False,164274,162522,1752,,30018,122012,11500,1468,-724,264479,33370,100
Drew Ferguson,R,2020,GA,03,True,True,2374212,2150911,338087,,199904,588526,1452322,0,133459,664297,4300,1850
Valbrun Almonord,D,2020,GA,03,False,False,35762,31946,14858,,8229,12532,0,10000,5000,7000,0,750
Hank Johnson,D,2020,GA,04,True,True,628303,490360,182400,,49524,75388,509375,0,-5984,57616,1250,0
Johsira C. Cruz,R,2020,GA,04,False,False,12954,23146,-3100,,1940,11514,0,0,-500,8913,0,1100
Nikema Williams,D,2020,GA,05,False,True,553964,362801,191163,,80651,251345,226043,0,-4075,251250,100,0
Robert Franklin,D,2020,GA,05,False,False,360473,358394,2078,,34407,254952,5050,68164,-2100,252952,1000,1000
Angela Stanton-King,R,2020,GA,05,False,False,305279,301338,3940,,170298,128452,4500,4077,-2049,97835,10600,450
Kwanza Hall,D,2020,GA,05,False,False,239597,227091,12505,,11835,225762,5000,0,-3000,184702,5000,10100
Barrington Martin II,D,2020,GA,05,False,False,16522,16517,6,,6842,9680,0,0,0,8710,550,420
Chase Oliver,L,2020,GA,05,False,False,9225,5220,4005,,2605,1400,0,0,5220,1400,0,0
Steven Muhammad,I,2020,GA,05,False,False,3497,-4965,13842,,1477,750,0,1270,0,0,0,0
Keisha Waites,D,2020,GA,05,False,False,875,0,875,,625,250,0,0,0,0,0,250
Lucy McBath,D,2020,GA,06,True,True,8507298,8586054,139929,,2260189,4766593,869818,0,610697,2577645,31424,126408
Karen Handel,R,2020,GA,06,False,False,3026243,3072932,41001,,591150,1913095,428050,0,93949,1269978,8963,2220
Carolyn Bourdeaux,D,2020,GA,07,False,True,5133244,5161230,113948,,846692,3629505,436794,0,220253,2821953,27772,6100
Richard McCormick,R,2020,GA,07,False,False,2595446,2563724,25914,,250308,1431577,339549,524639,49374,1319808,33000,8200
Austin Scott,R,2020,GA,08,True,True,821745,716159,666530,,7208,278500,542300,0,-6263,207450,0,67650
Jimmy Cooper,3,2020,GA,08,False,False,8542,8528,15,,1499,2890,0,3553,600,2640,0,250
Lindsay Holliday,D,2020,GA,08,False,False,7480,5220,210,,260,0,0,7220,0,0,0,0
Andrew Clyde,R,2020,GA,09,False,True,1569425,1561316,8108,,20296,210030,153800,1180298,5000,329240,13200,116000
Devin Pandy,D,2020,GA,09,False,False,84272,84623,-1279,,46111,38246,74,0,-159,35654,800,500
Jody Hice,R,2020,GA,10,True,True,595947,457648,249916,,24038,385609,191350,0,-5050,297085,2800,49050
Tabitha Johnson-Green,D,2020,GA,10,False,False,14808,12214,-8,,7887,7110,0,0,-189,4610,0,0
Barry Loudermilk,R,2020,GA,11,True,True,877767,700851,372832,,19924,217113,638050,0,2680,209137,0,13740
Dana Barrett,D,2020,GA,11,False,False,404625,394977,9648,,98681,294008,3571,8365,0,132832,2750,18700
Richard W Allen,R,2020,GA,12,True,True,1228970,662818,646909,,79874,800881,344250,0,3965,711678,8750,16484
Liz Johnson,D,2020,GA,12,False,False,72061,72061,0,,24933,44652,2576,0,-100,62922,2500,0
David Scott,D,2020,GA,13,True,True,1209614,1131746,453846,,2322,181888,1025900,0,-496,144888,1000,0
Becky Hites,R,2020,GA,13,False,False,63509,62935,574,,7246,37883,0,18380,0,31628,0,0
Martin Cowen,L,2020,GA,13,False,False,13460,13464,80,,1510,4550,0,0,7400,4550,0,0
Marjorie Taylor Greene,R,2020,GA,14,False,True,2596914,2237599,359316,,944274,654745,54750,953650,-10504,678156,23655,21000
Ed Case,D,2020,HI,01,True,False,508249,472569,116701,,37044,165750,403562,0,-98106,162100,1400,250
Ron Curtis,R,2020,HI,01,False,False,12538,12647,-109,,3127,576,0,8834,0,576,0,0
Kai Kahele,D,2020,HI,02,False,True,1235523,1039637,195886,,236656,636809,348062,788,13208,507653,14350,2583
Joe Akana,R,2020,HI,02,False,False,54534,55344,-810,,9453,31571,48,13176,286,6950,0,0
Jonathan Hoomanawanui,3,2020,HI,02,False,False,1883,1522,585,,23,0,0,1860,0,0,0,0
James E Risch,R,2020,ID,S1,True,True,3321170,2271880,2187545,,398778,1424764,1331283,0,166346,1244862,31724,50315
Paulette Jordan,D,2020,ID,S1,False,False,1111148,1095995,15153,,117709,988009,17894,0,-12464,327486,6513,755
Ray J. Writz,3,2020,ID,S1,False,False,4190,3311,1009,,50,320,0,3820,370,250,0,0
Russ Fulcher,R,2020,ID,01,True,True,575485,508457,102831,,13237,205925,358050,0,-1726,153474,5950,38900
Rudy Soto,D,2020,ID,01,False,False,302902,302902,0,,113130,167256,17050,0,5466,46660,0,7880
Mike Simpson,R,2020,ID,02,True,True,1008847,1099604,176314,,10383,249860,749853,0,-1250,216210,5850,500
Aaron Swisher,D,2020,ID,02,False,False,70674,70268,7851,,24883,41573,4000,100,119,40818,0,500
Dick Durbin,D,2020,IL,S1,True,True,10431747,10097276,1076487,,1959126,3868670,2172761,0,2431185,3415332,2100,57285
Willie Wilson,I,2020,IL,S1,False,False,1250621,1227349,1832651,,0,0,0,3076000,-1825379,0,16000,0
Mark Curran,R,2020,IL,S1,False,False,352283,352283,0,,138707,196983,17300,2463,-3170,174783,0,20050
Danny Malouf,L,2020,IL,S1,False,False,12536,12179,357,,4399,8137,0,0,0,7637,100,0
Bobby L Rush,D,2020,IL,01,True,True,541435,496454,111621,,1015,75470,466500,0,-1550,53820,1000,19650
Philanise White,R,2020,IL,01,False,False,6289,5048,928,,3831,2458,0,0,0,0,0,0
Robin Kelly,D,2020,IL,02,True,True,1634783,1108137,1014413,,73411,489217,1061576,250,10329,475376,7873,15450
Marie Newman,D,2020,IL,03,False,True,2802093,2699323,102841,,1006610,1488551,331790,3778,-28635,620767,3750,13775
Mike Fricilone,R,2020,IL,03,False,False,128458,127980,478,,27994,60355,0,39009,1100,39050,250,12390
Jesus Garcia,D,2020,IL,04,True,True,822846,711159,126757,,42221,348452,415300,0,16872,310256,5050,2500
Jesus Solorio Jr,R,2020,IL,04,False,False,2065,843,1129,,565,1500,0,0,0,1500,0,0
Mike Quigley,D,2020,IL,05,True,True,1171507,926655,1022348,,17760,371886,763454,0,18407,332588,1000,1000
Sean Casten,D,2020,IL,06,True,True,5582179,5313570,346138,,890473,3590925,1051681,0,49099,1471957,3716,75720
Jeanne Ives,R,2020,IL,06,False,False,3157771,3135464,22307,,882083,2036939,193775,100,44874,1039564,19600,210452
Bill Redpath,L,2020,IL,06,False,False,9837,9837,0,,2287,4425,100,3025,0,4025,0,0
Danny K Davis,D,2020,IL,07,True,True,544690,505506,243172,,11371,50800,487153,0,-4633,41656,3800,12850
Tracy Jennings,3,2020,IL,07,False,False,65283,65283,0,,7116,47377,0,10790,0,34174,190,0
Raja Krishnamoorthi,D,2020,IL,08,True,True,6358878,2207703,8427847,,570303,4811472,991009,1906,-15811,2230019,55350,3700
Jan Schakowsky,D,2020,IL,09,True,True,1834801,1514838,749054,,291885,1072477,483275,0,-12837,986836,10178,0
Sargis Sangari,R,2020,IL,09,False,False,35364,34715,-3410,,8214,22350,1500,0,3300,23080,20,0
Brad Schneider,D,2020,IL,10,True,True,3459512,2873333,1873763,,307086,1884525,1283262,0,-15360,1031828,9626,1540
Valerie Ramirez Mukherjee,R,2020,IL,10,False,False,130225,64764,65461,,3824,18601,5000,102800,0,18601,0,0
Bill Foster,D,2020,IL,11,True,True,2381354,1823906,3736201,,211535,1042097,912000,0,215722,509723,1000,3000
Rick Laib,R,2020,IL,11,False,False,20343,20064,279,,9667,7266,50,1600,1760,6615,0,875
Mike Bost,R,2020,IL,12,True,True,1918041,1509573,413789,,98481,650000,1030395,0,139165,812078,2000,34350
Ray Lenzi,D,2020,IL,12,False,False,161324,104809,57903,,19999,64306,17260,58209,1550,24125,0,11300
Rodney Davis,R,2020,IL,13,True,True,4943459,4822600,140436,,472726,1558527,2862033,0,50173,1171392,23565,17026
Betsy Dirksen Londrigan,D,2020,IL,13,False,False,5297007,5281880,15895,,670496,3629653,652387,100,344371,2548416,20800,10254
Lauren A Underwood,D,2020,IL,14,True,True,7803579,7301503,537898,,1729365,4584947,901053,0,588213,3007376,5791,43
Jim Oberweis,R,2020,IL,14,False,False,2438857,2348798,90059,,190591,1006490,146930,849179,245667,1081865,7650,0
Mary Miller,R,2020,IL,15,False,True,689057,570356,118701,,94735,351687,176585,0,66050,266698,5600,2650
Erika Weaver,D,2020,IL,15,False,False,58689,23349,-2772,,30403,13717,65,0,14504,13666,0,0
Adam Kinzinger,R,2020,IL,16,True,True,2105736,1588550,1523650,,95788,556977,422527,0,1030444,739300,500,43943
Dani Brzozowski,D,2020,IL,16,False,False,459344,376167,-314,,133245,299561,15900,250,10388,182587,12840,34405
Cheri Bustos,D,2020,IL,17,True,True,4975192,6391009,918624,,622666,1899871,2349415,0,103240,1310270,8225,3150
Esther Joy King,R,2020,IL,17,False,False,2032878,2030587,2292,,346957,1330502,280945,12491,61984,385716,0,254496
Darin LaHood,R,2020,IL,18,True,True,3248113,1749128,3090571,,214115,913465,1904333,0,216200,820476,9850,97950
Frank J. Mrvan,D,2020,IN,01,False,True,578635,464407,114228,,4038,355435,215250,5600,-1688,392361,5672,6056
Mark Leyva,R,2020,IN,01,False,False,16551,15343,1208,,4471,11580,500,0,0,1072,30,0
Jackie Walorski,R,2020,IN,02,True,True,2383467,1698202,803297,,75088,689795,1342908,0,275676,976526,20956,54350
Pat Hackett,D,2020,IN,02,False,False,881888,867301,15785,,156261,682562,43350,0,-285,323350,1059,900
Jim Banks,R,2020,IN,03,True,True,1202509,769591,444427,,130779,403198,678025,0,-9492,261457,5950,59430
Chip Coldiron,D,2020,IN,03,False,False,94056,89883,2119,,54000,34506,4600,950,0,34445,500,200
Jim Baird,R,2020,IN,04,True,True,327727,190158,247371,,7152,104020,221475,0,-4920,105726,1950,0
Joe Mackey,D,2020,IN,04,False,False,44585,43213,1590,,18828,19744,200,25,5788,9069,0,7714
Christina Hale,D,2020,IN,05,False,False,4010368,3998905,11464,,636268,2405129,646016,5700,317257,1944671,21150,36320
Victoria Spartz,R,2020,IN,05,False,True,3119328,3010203,109124,,551594,907954,307920,1143100,208759,778335,6000,111802
Greg Pence,R,2020,IN,06,True,True,3114448,2804148,510827,,1525884,850628,402750,0,335186,1274436,13023,174609
Jeannine Lee Lake,D,2020,IN,06,False,False,143089,145315,-2227,,91613,29540,990,20413,533,2907,2600,530
Andre Carson,D,2020,IN,07,True,True,1011635,873962,988170,,25864,493208,448450,0,44113,503620,6665,3050
Susan Marie Smith,R,2020,IN,07,False,False,62905,59843,1857,,6191,45327,1600,9756,30,33886,2500,4490
Larry Bucshon,R,2020,IN,08,True,True,1051336,1078646,206920,,15750,240500,795500,0,-414,284800,0,0
Thomasina Marsili,D,2020,IN,08,False,False,68734,68480,254,,23671,36926,3964,2223,1951,30388,0,6038
Trey Hollingsworth,R,2020,IN,09,True,True,1166754,501136,672944,,17484,135141,1006250,0,7880,125740,0,0
Andy Ruff,D,2020,IN,09,False,False,148263,134906,13357,,76609,64780,6700,1000,-826,20634,0,125
Tonya Millis,L,2020,IN,09,False,False,10224,10041,59,,2260,400,0,7261,303,400,0,0
Joni Ernst,R,2020,IA,S2,True,True,30345910,29945779,528415,,9323385,13647022,3319500,0,4058004,14734076,160047,1113615
Theresa Greenfield,D,2020,IA,S2,False,False,55592603,55562367,30236,,19709449,33260650,955303,0,1667201,30261081,307171,45788
Suzanne Herzog,I,2020,IA,S2,False,False,18300,18300,0,,1413,3000,0,13886,0,2500,500,0
Rick Stewart,L,2020,IA,S2,False,False,8820,16093,-7273,,520,8300,0,0,0,8050,250,0
Abby Finkenauer,D,2020,IA,01,True,False,5901441,5875405,55019,,734629,3148353,1324778,0,693681,2060542,28018,13682
Ashley Hinson,R,2020,IA,01,False,True,5175883,5059211,116672,,1685312,2952526,393316,2800,141930,2965359,36653,276182
Rita Hart,D,2020,IA,02,False,False,4232992,4114400,118592,,540848,2447061,651760,472,592852,2180144,42189,4227
Mariannette Miller-Meeks,R,2020,IA,02,False,True,2174194,1721926,452413,,190827,1001685,367313,212863,401506,997548,48125,1100
Cindy Axne,D,2020,IA,03,True,True,6236976,6236994,19521,,793333,3619080,1268620,0,555943,1604246,7450,20
David Young,R,2020,IA,03,False,False,3170072,3094582,88291,,439252,1990170,636036,1979,102634,1351964,10697,292678
J.D. Scholten,D,2020,IA,04,False,False,2885915,2902003,53112,,1051480,1682724,132103,0,19608,980234,9315,16250
Randy Feenstra,R,2020,IA,04,False,True,1906234,1894288,11946,,154035,1155074,537335,2600,57190,847302,106000,12770
Barbara Bollier,D,2020,KS,S1,False,False,28662913,28499933,162980,,11319975,15708533,629502,50000,954903,12818822,41817,167103
Roger Marshall,R,2020,KS,S1,False,True,6609476,7007803,209959,,576504,3910738,2034570,0,87664,3389669,50560,356775
Tracey Mann,R,2020,KS,01,False,True,1403353,1127156,276197,,39775,914779,308700,50200,89899,1008053,2800,0
Kali Barnett,D,2020,KS,01,False,False,603036,592924,10112,,116385,450823,9000,25000,1828,234550,500,0
Michelle De La Isla,D,2020,KS,02,False,False,1825085,1810968,14118,,339510,1112130,288228,0,85217,935098,6100,34350
Jake Laturner,R,2020,KS,02,False,True,1593407,1578460,14947,,59549,773106,284350,0,476401,1764598,25000,6125
Sharice Davids,D,2020,KS,03,True,True,5638552,5168034,479150,,950716,3186691,1309878,0,191267,1654960,5075,19659
Amanda Adkins,R,2020,KS,03,False,False,2182382,2139673,42710,,94666,1783222,170550,3304,130640,3054022,25450,82600
Ron Estes,R,2020,KS,04,True,True,1993808,1420188,844164,,35889,825909,1132979,0,-968,529376,7600,21900
Laura Lombard,D,2020,KS,04,False,False,264459,258684,5775,,102270,167591,5750,0,-11152,113874,1250,10720
Mitch McConnell,R,2020,KY,S1,True,True,71351350,64787889,6811701,,28085387,33964912,4931731,0,4369319,11064594,154989,2341400
Amy McGrath,D,2020,KY,S1,False,False,94120557,90775744,3389593,,55579753,38421855,353988,0,-235039,19890110,61151,1342121
Brad Barron,L,2020,KY,S1,False,False,112187,16601,97660,,14021,96711,0,1456,0,85210,9500,0
James Comer,R,2020,KY,01,True,True,736116,502554,402463,,9223,266950,459450,0,493,254896,500,7850
Brett Guthrie,R,2020,KY,02,True,True,1412797,1566622,1856674,,33107,193600,1184235,0,1855,161100,500,6450
Hank Linderman,D,2020,KY,02,False,False,93388,71122,31482,,8031,74325,11032,0,0,71475,0,0
Robert Lee Perry,L,2020,KY,02,False,False,12798,7825,0,,650,9783,0,2365,0,500,6726,1750
John Yarmuth,D,2020,KY,03,True,True,658295,690226,169846,,21416,179026,461957,0,-4104,287628,13200,0
Rhonda Palazzo,R,2020,KY,03,False,False,46144,45668,476,,14619,24100,7000,425,0,24100,0,0
Thomas Massie,R,2020,KY,04,True,True,1457316,1563275,119384,,426531,821225,185301,0,24259,801274,6560,6700
Alexandra Owensby,D,2020,KY,04,False,False,156174,106359,49227,,76821,66347,12006,1000,0,31137,5600,650
Hal Rogers,R,2020,KY,05,True,True,664168,835781,836903,,676,263450,403750,0,-3708,254783,250,7950
Andy Barr,R,2020,KY,06,True,True,4536264,4316239,354703,,201579,1829441,2001104,0,504140,1819238,2795,180202
Josh Hicks,D,2020,KY,06,False,False,2936320,2935615,705,,533990,2153489,228683,0,20157,1366158,10800,550
Bill Cassidy,R,2020,LA,S1,True,True,11304150,10558926,1637677,,640547,6701180,3267609,0,694812,6321771,31325,22250
Adrian Perkins,D,2020,LA,S1,False,False,2725722,2570823,154899,,1346929,1301920,75500,0,1373,668928,1128,14500
Peter Wenstrup,D,2020,LA,S1,False,False,160339,148632,-621,,41939,113402,0,5190,-192,115402,0,0
Dartanyon Williams,D,2020,LA,S1,False,False,111316,98114,8723,,1728,33923,0,75665,0,0,0,0
Antoine Pierce,D,2020,LA,S1,False,False,100627,54892,-13789,,55257,41870,1500,2000,0,4012,413,38944
Derrick Edwards,D,2020,LA,S1,False,False,41702,37897,64,,698,9425,0,31579,0,0,0,0
Dustin Murphy,R,2020,LA,S1,False,False,12765,8694,4051,,3330,4418,0,5517,-500,3965,0,0
Beryl Billiot,I,2020,LA,S1,False,False,6375,6375,0,,25,0,0,6350,0,0,0,0
John Paul Bourgeois,I,2020,LA,S1,False,False,3500,3400,100,,0,3500,0,0,0,0,0,0
Aaron Sigler,L,2020,LA,S1,False,False,3298,2647,651,,0,1598,0,1700,0,0,0,0
Steve Scalise,R,2020,LA,01,True,True,37262827,32830607,6217720,,13009776,14583199,60950,0,9608903,28027042,260899,95710
Cedric Richmond,D,2020,LA,02,True,True,1628289,1302079,795949,,13034,377000,1240755,0,-2500,290960,1500,12050
Clay Higgins,R,2020,LA,03,True,True,751498,720424,71763,,47053,486773,226100,0,-8428,320897,2800,3750
Robert Jon Anderson,D,2020,LA,03,False,False,63617,48015,2695,,41105,22512,0,0,0,21361,191,10
Braylon Harris,D,2020,LA,03,False,False,23006,15130,7876,,5436,13820,0,0,3750,10350,0,3500
Mike Johnson,R,2020,LA,04,True,True,1299787,1039393,669686,,58044,768506,488802,0,-15566,699607,4050,10695
Kenny Houston,D,2020,LA,04,False,False,33677,33407,270,,6137,18527,0,9563,-550,10718,250,0
Luke Letlow,R,2020,LA,05,False,False,1392822,1303757,89065,,26781,1178091,190150,0,-2200,475946,4300,15450
Lance Harris,R,2020,LA,05,False,False,696805,687833,8972,,9155,449200,29500,209200,-250,443200,8500,0
Martin Lemelle,D,2020,LA,05,False,False,173796,162747,11048,,34548,135567,500,3681,-500,126508,4591,500
Scotty Robinson,R,2020,LA,05,False,False,113903,113835,68,,13094,73359,2000,25450,0,59260,750,8850
Candy Christophe,D,2020,LA,05,False,False,77101,131161,-51355,,5153,16400,0,55500,48,14600,0,1000
Phillip Snowden,D,2020,LA,05,False,False,29481,28077,1,,2181,1960,0,25340,0,1150,0,0
Matthew Hasty,R,2020,LA,05,False,False,2654,2615,38,,0,2145,0,509,0,0,0,0
Garret Graves,R,2020,LA,06,True,True,1743015,1200287,2026909,,10978,768042,916246,20,47729,1185662,5600,139550
Dartanyon Williams,D,2020,LA,06,False,False,111316,98114,8723,,1728,33923,0,75665,0,12417,0,15505
Susan Collins,R,2020,ME,S2,True,True,29967118,29600689,1295192,,5858913,19310705,3355788,0,1441712,8443493,51700,17330
Sara Gideon,D,2020,ME,S2,False,False,74498517,62939062,11559504,,30418032,43000256,727248,1132,351849,30363972,109158,97005
Max Linn,I,2020,ME,S2,False,False,505540,490653,14887,,332,0,0,505208,0,0,0,0
Lisa Savage,3,2020,ME,S2,False,False,208800,197255,7437,,70160,136122,0,1714,804,97802,403,7905
Chellie Pingree,D,2020,ME,01,True,True,487080,264790,446658,,110067,138025,250500,0,-11512,36887,0,0
Jay Allen,R,2020,ME,01,False,False,79585,69853,9731,,27499,41338,0,7946,2801,51464,0,0
Jared Golden,D,2020,ME,02,True,True,5272142,5233990,130861,,957378,3189383,667657,0,457724,2550604,12617,1750
Dale Crafts,R,2020,ME,02,False,False,1199805,1196117,3689,,55160,743574,203593,24921,172557,757582,17784,18776
Andy Harris,R,2020,MD,01,True,True,1468096,973953,1043179,,246261,812770,416246,0,-7182,831077,0,90546
